City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,64.99,92,79,7.9,ZA,1704414529
1,blackmans bay,-43.0167,147.3167,69.53,56,53,1.99,AU,1704414530
2,bethel,41.3712,-73.414,33.89,50,0,14.97,US,1704414530
3,avarua,-21.2078,-159.775,82.45,78,75,18.41,CK,1704414530
4,papatowai,-46.5619,169.4708,54.01,50,88,11.21,NZ,1704414531
5,punta arenas,-53.15,-70.9167,51.91,87,100,4.61,CL,1704414531
6,ushuaia,-54.8,-68.3,46.06,87,75,12.66,AR,1704414301
7,port-aux-francais,-49.35,70.2167,40.17,68,53,27.63,TF,1704414532
8,hawaiian paradise park,19.5933,-154.9731,77.88,79,100,14.97,US,1704414533
9,uturoa,-16.7333,-151.4333,80.42,79,100,25.05,PF,1704414533
10,kapuskasing,49.4169,-82.4331,5.09,78,100,9.22,CA,1704414534
11,kingston,17.997,-76.7936,83.35,76,75,10.36,JM,1704414535
12,puerto natales,-51.7236,-72.4875,53.76,87,100,1.72,CL,1704414535
13,palikir - national government center,6.9248,158.1611,86.74,74,75,9.22,FM,1704414536
14,santyoku,37.4406,129.1708,44.2,66,29,7.72,KR,1704414536
15,aykhal,66.0,111.5,-31.7,97,27,1.86,RU,1704414537
16,saint-francois,46.4154,3.9054,46.65,74,0,6.91,FR,1704414537
17,dinghaicun,26.2847,119.7936,52.72,69,15,8.48,CN,1704414538
18,arraial do cabo,-22.9661,-42.0278,75.16,88,75,3.44,BR,1704414538
19,edinburgh of the seven seas,-37.0676,-12.3116,56.86,66,36,22.68,SH,1704414539
20,ambon,-3.6954,128.1814,87.93,100,20,3.44,ID,1704414539
21,the pas,53.8251,-101.2541,19.42,79,100,9.22,CA,1704414540
22,adamstown,-25.066,-130.1015,74.53,83,87,16.55,PN,1704414540
23,chernyshevskiy,63.0128,112.4714,-16.8,96,100,6.87,RU,1704414541
24,villa dolores,-31.9459,-65.1896,80.98,49,59,9.84,AR,1704414541
25,udachny,66.4167,112.4,-41.28,100,50,1.5,RU,1704414542
26,hadibu,12.65,54.0333,75.06,57,53,10.85,YE,1704414542
27,tsiombe,-25.3,45.4833,72.91,89,21,9.51,MG,1704414543
28,morwa,22.9,73.8333,58.98,61,0,7.72,IN,1704414543
29,kavaratti,10.5669,72.642,81.16,78,100,7.63,IN,1704414544
30,flagstaff,35.1981,-111.6513,32.52,77,0,8.05,US,1704414544
31,mersing,2.4312,103.8405,75.11,94,40,8.05,MY,1704414545
32,waitangi,-43.9535,-176.5597,62.82,89,100,27.2,NZ,1704414546
33,essaouira,31.5125,-9.77,60.3,51,20,1.14,MA,1704414546
34,shimoda,34.6667,138.95,56.1,64,63,6.69,JP,1704414547
35,alofi,-19.0595,-169.9187,87.69,58,75,12.66,NU,1704414547
36,grytviken,-54.2811,-36.5092,42.64,87,97,11.27,GS,1704414547
